asset_id,recorded_at,vibration,temperature,pressure,rms,kurtosis,peak_to_peak
AST-001,2003-10-22 16:06:24,0.553,57.96,6.108,0.08146,2.86966,0.34481
AST-001,2003-10-22 16:16:24,0.645,61.28,6.243,0.07968,2.95211,0.32979
AST-001,2003-10-22 16:26:24,0.645,60.12,6.115,0.07943,3.1534,0.41182
AST-001,2003-10-22 16:36:24,0.687,58.58,6.092,0.08675,2.68589,0.37178
AST-001,2003-10-22 16:46:24,0.694,59.57,5.916,0.0796,3.12338,0.39811
AST-001,2003-10-22 16:56:24,0.656,60.84,6.038,0.08385,3.07882,0.41398
AST-001,2003-10-22 17:06:24,0.544,57.31,6.15,0.0833,2.89637,0.36898
AST-001,2003-10-22 17:16:24,0.555,59.88,6.015,0.0712,3.21678,0.37925
AST-001,2003-10-22 17:26:24,0.571,59.74,6.174,0.08546,2.92793,0.4261
AST-001,2003-10-22 17:36:24,0.638,61.53,6.196,0.08394,3.00095,0.41915
AST-001,2003-10-22 17:46:24,0.586,61.09,5.869,0.08027,3.04597,0.40005
AST-001,2003-10-22 17:56:24,0.687,58.69,6.156,0.0852,3.09286,0.32972
AST-001,2003-10-22 18:06:24,0.636,60.79,5.914,0.08147,3.09785,0.35973
AST-001,2003-10-22 18:16:24,0.641,60.17,6.036,0.0824,2.77944,0.32106
AST-001,2003-10-22 18:26:24,0.66,61.03,6.109,0.08459,2.79512,0.29882
AST-001,2003-10-22 18:36:24,0.64,60.02,5.996,0.08193,3.14801,0.39227
AST-001,2003-10-22 18:46:24,0.556,58.89,5.788,0.07679,2.98547,0.28385
AST-001,2003-10-22 18:56:24,0.741,60.55,6.115,0.08284,2.86951,0.35969
AST-001,2003-10-22 19:06:24,0.693,61.75,6.015,0.08599,2.90333,0.34992
AST-001,2003-10-22 19:16:24,0.696,58.05,5.777,0.0903,2.90788,0.39742
AST-001,2003-10-22 19:26:24,0.587,58.52,6.24,0.08533,3.10865,0.43638
AST-001,2003-10-22 19:36:24,0.533,58.76,5.838,0.08725,2.84581,0.4574
AST-001,2003-10-22 19:46:24,0.549,61.56,5.993,0.0778,3.31817,0.30731
AST-001,2003-10-22 19:56:24,0.571,59.43,6.161,0.08462,2.82311,0.36093
AST-001,2003-10-22 20:06:24,0.663,58.15,5.936,0.07685,2.86935,0.37375
AST-001,2003-10-22 20:16:24,0.663,59.78,6.244,0.08761,3.05844,0.46294
AST-001,2003-10-22 20:26:24,0.69,61.28,5.946,0.08148,3.00003,0.34869
AST-001,2003-10-22 20:36:24,0.722,61.62,5.972,0.08193,3.18676,0.41742
AST-001,2003-10-22 20:46:24,0.643,61.31,5.732,0.07564,2.86814,0.32312
AST-001,2003-10-22 20:56:24,0.635,60.32,6.034,0.0861,2.98483,0.31589
AST-001,2003-10-22 21:06:24,0.6,58.92,5.563,0.0712,2.99971,0.32123
AST-001,2003-10-22 21:16:24,0.6,61.53,5.992,0.08758,2.83396,0.36392
AST-001,2003-10-22 21:26:24,0.56,59.21,6.284,0.08188,3.18834,0.3894
AST-001,2003-10-22 21:36:24,0.639,58.51,5.949,0.08368,3.02447,0.37564
AST-001,2003-10-22 21:46:24,0.629,57.96,5.943,0.08916,2.98179,0.45837
AST-001,2003-10-22 21:56:24,0.593,56.8,5.812,0.07793,2.93767,0.33618
AST-001,2003-10-22 22:06:24,0.573,57.91,5.97,0.08751,2.54133,0.42596
AST-001,2003-10-22 22:16:24,0.633,58.5,5.84,0.0804,3.02507,0.32068
AST-001,2003-10-22 22:26:24,0.673,60.21,6.028,0.08282,2.74006,0.44596
AST-001,2003-10-22 22:36:24,0.613,59.11,6.013,0.08317,2.92148,0.39721
AST-001,2003-10-22 22:46:24,0.622,60.16,5.939,0.08906,3.04467,0.38144
AST-001,2003-10-22 22:56:24,0.581,56.17,5.953,0.07053,2.95434,0.35299
AST-001,2003-10-22 23:06:24,0.594,58.61,5.975,0.0778,2.86516,0.345
AST-001,2003-10-22 23:16:24,0.59,58.84,6.061,0.07918,2.68545,0.3207
AST-001,2003-10-22 23:26:24,0.59,56.85,5.788,0.07698,2.93234,0.2909
AST-001,2003-10-22 23:36:24,0.574,59.02,6.039,0.08133,3.05689,0.42084
AST-001,2003-10-22 23:46:24,0.621,57.15,6.064,0.07727,2.89748,0.28936
AST-001,2003-10-22 23:56:24,0.663,57.46,6.169,0.08038,3.10825,0.32015
AST-001,2003-10-23 00:06:24,0.555,56.68,6.141,0.075,3.06531,0.33296
AST-001,2003-10-23 00:16:24,0.666,56.71,6.161,0.07369,2.87749,0.37483
AST-001,2003-10-23 00:26:24,0.579,57.37,5.903,0.07464,2.93966,0.39847
AST-001,2003-10-23 00:36:24,0.579,56.62,5.888,0.08069,3.05529,0.33834
AST-001,2003-10-23 00:46:24,0.492,56.31,6.197,0.07958,3.21896,0.40852
AST-001,2003-10-23 00:56:24,0.479,56.67,5.79,0.08352,2.82821,0.32344
AST-001,2003-10-23 01:06:24,0.629,57.84,6.254,0.08074,3.29425,0.34181
AST-001,2003-10-23 01:16:24,0.54,60.33,5.946,0.07947,2.85053,0.31297
AST-001,2003-10-23 01:26:24,0.63,57.55,6.148,0.08047,2.99196,0.43002
AST-001,2003-10-23 01:36:24,0.593,57.83,6.084,0.08933,2.82754,0.31401
AST-001,2003-10-23 01:46:24,0.602,58.6,5.99,0.0829,3.01313,0.35904
AST-001,2003-10-23 01:56:24,0.653,56.29,6.143,0.08417,2.92772,0.35305
AST-001,2003-10-23 02:06:24,0.585,58.64,6.312,0.07901,3.08772,0.37566
AST-001,2003-10-23 02:16:24,0.43,57.36,6.226,0.07386,3.02114,0.27525
AST-001,2003-10-23 02:26:24,0.503,56.74,6.056,0.08878,3.08174,0.4508
AST-001,2003-10-23 02:36:24,0.632,56.64,5.98,0.07659,3.22565,0.36443
AST-001,2003-10-23 02:46:24,0.68,56.65,6.087,0.07747,2.81423,0.3596
AST-001,2003-10-23 02:56:24,0.579,56.89,5.736,0.07888,2.87222,0.38538
AST-001,2003-10-23 03:06:24,0.549,56.89,5.851,0.07746,3.11664,0.41781
AST-001,2003-10-23 03:16:24,0.515,55.84,6.075,0.07607,2.98914,0.41683
AST-001,2003-10-23 03:26:24,0.608,56.57,5.809,0.07995,3.24327,0.37615
AST-001,2003-10-23 03:36:24,0.495,54.55,6.017,0.08281,2.94677,0.40335
AST-001,2003-10-23 03:46:24,0.521,56.42,6.04,0.07906,2.83677,0.32699
AST-001,2003-10-23 03:56:24,0.586,56.72,5.955,0.0869,2.86435,0.41678
AST-001,2003-10-23 04:06:24,0.584,57.7,5.982,0.07739,2.68989,0.28877
AST-001,2003-10-23 04:16:24,0.566,54.05,5.851,0.07615,2.83564,0.3733
AST-001,2003-10-23 04:26:24,0.629,56.1,6.077,0.08223,2.99253,0.3345
AST-001,2003-10-23 04:36:24,0.518,57.24,5.979,0.08028,3.1209,0.42468
AST-001,2003-10-23 04:46:24,0.52,55.01,6.045,0.08103,2.93233,0.33674
AST-001,2003-10-23 04:56:24,0.557,55.08,5.745,0.0887,2.7532,0.46543
AST-001,2003-10-23 05:06:24,0.58,56.32,5.943,0.07577,3.15984,0.39232
AST-001,2003-10-23 05:16:24,0.56,56.8,6.096,0.08204,2.90898,0.43294
AST-001,2003-10-23 05:26:24,0.672,56.94,6.17,0.08361,2.6076,0.3884
AST-001,2003-10-23 05:36:24,0.547,55.86,5.781,0.0802,2.66921,0.39438
AST-001,2003-10-23 05:46:24,0.607,55.52,6.038,0.0757,2.79907,0.30966
AST-001,2003-10-23 05:56:24,0.548,56.23,6.136,0.06426,3.08415,0.30635
AST-001,2003-10-23 06:06:24,0.591,56.77,6.304,0.07666,3.02941,0.4142
AST-001,2003-10-23 06:16:24,0.555,54.39,6.029,0.07777,3.19529,0.41913
AST-001,2003-10-23 06:26:24,0.557,57.66,6.163,0.07703,2.87005,0.30362
AST-001,2003-10-23 06:36:24,0.654,54.81,6.141,0.08762,2.90494,0.47378
AST-001,2003-10-23 06:46:24,0.56,55.38,6.015,0.08154,2.76896,0.29489
AST-001,2003-10-23 06:56:24,0.659,56.72,5.972,0.07597,3.20694,0.35644
AST-001,2003-10-23 07:06:24,0.541,57.36,6.038,0.07545,2.60142,0.26959
AST-001,2003-10-23 07:16:24,0.555,54.76,5.99,0.07928,2.77799,0.3121
AST-001,2003-10-23 07:26:24,0.631,55.5,6.087,0.0787,2.81353,0.37581
AST-001,2003-10-23 07:36:24,0.459,57.05,5.979,0.07686,3.06733,0.32424
AST-001,2003-10-23 07:46:24,0.498,56.92,6.192,0.08086,2.82377,0.32305
AST-001,2003-10-23 07:56:24,0.58,56.11,6.019,0.07716,2.94946,0.41668
AST-001,2003-10-23 08:06:24,0.602,57.75,5.86,0.0727,2.73658,0.36009
AST-001,2003-10-23 08:16:24,0.607,54.28,5.733,0.08142,2.77602,0.40983
AST-001,2003-10-23 08:26:24,0.565,57.63,5.965,0.0782,2.72942,0.3787
AST-001,2003-10-23 08:36:24,0.512,57.19,6.037,0.08024,3.0607,0.43842
AST-001,2003-10-23 08:46:24,0.622,56.61,5.879,0.08007,2.89006,0.33751
AST-001,2003-10-23 08:56:24,0.604,59.31,6.136,0.0737,2.7555,0.28295
AST-001,2003-10-23 09:06:24,0.528,57.89,5.912,0.07374,3.0368,0.3966
AST-001,2003-10-23 09:16:24,0.588,56.57,5.966,0.07506,3.05043,0.30423
AST-001,2003-10-23 09:26:24,0.672,57.81,6.002,0.07613,2.91149,0.3401
AST-001,2003-10-23 09:36:24,0.591,58.08,6.252,0.06577,3.36624,0.28547
AST-001,2003-10-23 09:46:24,0.528,56.12,5.884,0.07981,2.92904,0.42068
AST-001,2003-10-23 09:56:24,0.566,56.12,5.763,0.07595,2.97324,0.38762
AST-001,2003-10-23 10:06:24,0.57,55.37,6.151,0.07837,3.08277,0.36698
AST-001,2003-10-23 10:16:24,0.605,57.13,5.87,0.07796,2.85965,0.30192
AST-001,2003-10-23 10:26:24,0.634,56.94,6.112,0.07246,2.95954,0.39238
AST-001,2003-10-23 10:36:24,0.545,56.87,5.881,0.07797,2.9101,0.38426
AST-001,2003-10-23 10:46:24,0.56,60.08,6.268,0.07963,3.19367,0.40784
AST-001,2003-10-23 10:56:24,0.642,56.27,5.951,0.07993,2.98712,0.33425
AST-001,2003-10-23 11:06:24,0.63,57.71,6.093,0.07818,2.90532,0.38977
AST-001,2003-10-23 11:16:24,0.661,57.97,5.951,0.09212,3.08515,0.36764
AST-001,2003-10-23 11:26:24,0.525,56.15,6.155,0.07926,3.12866,0.36889
AST-001,2003-10-23 11:36:24,0.55,58.57,5.965,0.08365,2.80761,0.3334
AST-001,2003-10-23 11:46:24,0.647,58.03,6.05,0.07226,2.9126,0.39474
AST-001,2003-10-23 11:56:24,0.552,58.82,6.212,0.08325,2.93448,0.3994
AST-001,2003-10-23 12:06:24,0.616,55.56,6.019,0.08003,2.86904,0.3444
AST-001,2003-10-23 12:16:24,0.598,56.65,5.93,0.08617,3.02816,0.31765
AST-001,2003-10-23 12:26:24,0.565,58.03,6.216,0.07863,3.09169,0.32653
AST-001,2003-10-23 12:36:24,0.675,57.93,6.092,0.07451,3.07767,0.38825
AST-001,2003-10-23 12:46:24,0.603,58.64,6.096,0.06693,3.14124,0.30907
AST-001,2003-10-23 12:56:24,0.58,58.32,5.902,0.08108,2.92003,0.43411
AST-001,2003-10-23 13:06:24,0.598,59.88,5.938,0.0857,3.30886,0.43037
AST-001,2003-10-23 13:16:24,0.619,60.37,6.022,0.08009,3.06553,0.2983
AST-001,2003-10-23 13:26:24,0.531,59.51,6.01,0.07915,2.83434,0.2876
AST-001,2003-10-23 13:36:24,0.567,59.69,5.895,0.07798,2.84325,0.42162
AST-001,2003-10-23 13:46:24,0.547,59.04,5.819,0.08174,2.96125,0.42655
AST-001,2003-10-23 13:56:24,0.508,59.61,6.082,0.07955,3.0089,0.29077
AST-001,2003-10-23 14:06:24,0.66,57.21,5.755,0.07801,2.63887,0.36562
AST-001,2003-10-23 14:16:24,0.683,58.77,5.969,0.0841,3.30084,0.39804
AST-001,2003-10-23 14:26:24,0.672,58.75,5.959,0.09346,2.85217,0.444
AST-001,2003-10-23 14:36:24,0.528,59.13,6.088,0.07946,2.98981,0.41965
AST-001,2003-10-23 14:46:24,0.635,60.21,5.908,0.0825,3.08283,0.42168
AST-001,2003-10-23 14:56:24,0.649,59.19,5.96,0.08754,3.07827,0.47957
AST-001,2003-10-23 15:06:24,0.589,58.96,6.038,0.07955,2.85444,0.32242
AST-001,2003-10-23 15:16:24,0.657,62.2,6.268,0.09014,3.16278,0.35769
AST-001,2003-10-23 15:26:24,0.564,58.79,5.96,0.07159,2.76215,0.37572
AST-001,2003-10-23 15:36:24,0.566,57.92,6.21,0.07857,3.09777,0.38485
AST-001,2003-10-23 15:46:24,0.579,59.35,5.901,0.0844,2.85394,0.3743
AST-001,2003-10-23 15:56:24,0.585,58.19,5.944,0.08014,2.91786,0.28778
AST-001,2003-10-23 16:06:24,0.571,61.5,6.227,0.07047,2.95372,0.34076
AST-001,2003-10-23 16:16:24,0.668,56.96,5.897,0.08841,2.72055,0.38598
AST-001,2003-10-23 16:26:24,0.569,60.54,6.128,0.0902,3.01668,0.4627
AST-001,2003-10-23 16:36:24,0.599,61.82,6.015,0.09032,3.04559,0.36563
AST-001,2003-10-23 16:46:24,0.591,59.15,5.846,0.08108,2.5863,0.40917
AST-001,2003-10-23 16:56:24,0.73,58.62,6.235,0.07409,3.06526,0.26001
AST-001,2003-10-23 17:06:24,0.579,57.26,6.085,0.08516,3.02149,0.34697
AST-001,2003-10-23 17:16:24,0.646,57.67,6.207,0.08325,2.96321,0.30158
AST-001,2003-10-23 17:26:24,0.712,60.67,6.129,0.07269,2.80707,0.30928
AST-001,2003-10-23 17:36:24,0.566,61.36,6.008,0.07882,3.18258,0.31127
AST-001,2003-10-23 17:46:24,0.583,60.81,5.995,0.0793,2.99125,0.32725
AST-001,2003-10-23 17:56:24,0.608,61.87,5.776,0.08124,2.72449,0.351
AST-001,2003-10-23 18:06:24,0.559,59.9,6.023,0.08653,3.0241,0.39563
AST-001,2003-10-23 18:16:24,0.683,59.75,5.962,0.07829,3.10157,0.42766
AST-001,2003-10-23 18:26:24,0.601,59.35,6.092,0.08604,3.06413,0.41945
AST-001,2003-10-23 18:36:24,0.675,61.5,5.964,0.08407,3.10523,0.41609
AST-001,2003-10-23 18:46:24,0.649,59.72,6.16,0.0837,2.7699,0.39902
AST-001,2003-10-23 18:56:24,0.624,61.4,6.071,0.08607,2.89221,0.36861
AST-001,2003-10-23 19:06:24,0.669,59.93,5.752,0.08457,3.12131,0.31691
AST-001,2003-10-23 19:16:24,0.608,59.77,5.929,0.08745,2.91048,0.43175
AST-001,2003-10-23 19:26:24,0.673,59.12,6.018,0.08116,3.20499,0.36629
AST-001,2003-10-23 19:36:24,0.558,59.11,6.141,0.0761,3.47258,0.32337
AST-001,2003-10-23 19:46:24,0.586,60.76,5.884,0.09015,3.06132,0.32108
AST-001,2003-10-23 19:56:24,0.68,60.66,5.902,0.0852,2.86419,0.39296
AST-001,2003-10-23 20:06:24,0.519,60.02,6.107,0.08494,3.10866,0.43573
AST-001,2003-10-23 20:16:24,0.643,59.66,6.047,0.087,3.04918,0.44979
AST-001,2003-10-23 20:26:24,0.6,58.63,5.931,0.07469,3.04718,0.29961
AST-001,2003-10-23 20:36:24,0.593,59.0,5.996,0.09274,2.76576,0.38384
AST-001,2003-10-23 20:46:24,0.585,57.59,6.04,0.08434,2.94745,0.44603
AST-001,2003-10-23 20:56:24,0.68,59.81,6.05,0.0778,3.22877,0.41223
AST-001,2003-10-23 21:06:24,0.543,59.71,6.056,0.07963,2.99249,0.40446
AST-001,2003-10-23 21:16:24,0.656,58.41,5.937,0.08346,3.12077,0.29516
AST-001,2003-10-23 21:26:24,0.638,60.37,6.137,0.0838,3.25507,0.41073
AST-001,2003-10-23 21:36:24,0.594,59.64,5.917,0.08001,2.79013,0.29422
AST-001,2003-10-23 21:46:24,0.61,58.88,5.732,0.08189,3.06566,0.37203
AST-001,2003-10-23 21:56:24,0.647,57.33,5.836,0.08298,2.9071,0.36771
AST-001,2003-10-23 22:06:24,0.583,60.25,6.045,0.07336,2.92475,0.36588
AST-001,2003-10-23 22:16:24,0.538,56.32,5.869,0.07649,3.01024,0.40816
AST-001,2003-10-23 22:26:24,0.624,60.02,6.107,0.07736,2.91731,0.33703
AST-001,2003-10-23 22:36:24,0.569,59.59,5.996,0.08127,2.87774,0.36235
AST-001,2003-10-23 22:46:24,0.588,58.21,5.995,0.08051,3.01194,0.36419
AST-001,2003-10-23 22:56:24,0.61,59.4,5.976,0.08801,3.01215,0.47372
AST-001,2003-10-23 23:06:24,0.642,56.31,6.095,0.08029,2.91582,0.3207
AST-001,2003-10-23 23:16:24,0.692,55.44,5.942,0.07438,3.35758,0.3449
AST-001,2003-10-23 23:26:24,0.621,55.96,5.871,0.08054,2.86925,0.30408
AST-001,2003-10-23 23:36:24,0.609,59.26,6.057,0.06632,2.91968,0.30673
AST-001,2003-10-23 23:46:24,0.641,57.99,5.847,0.0791,2.92538,0.34861
AST-001,2003-10-23 23:56:24,0.615,57.33,5.978,0.07369,2.83894,0.39056
AST-001,2003-10-24 00:06:24,0.519,59.02,6.248,0.08556,2.90963,0.4053
AST-001,2003-10-24 00:16:24,0.57,55.73,5.97,0.08942,3.1946,0.44441
AST-001,2003-10-24 00:26:24,0.538,57.47,6.14,0.0768,2.91507,0.4209
AST-001,2003-10-24 00:36:24,0.63,58.84,6.137,0.0737,2.8849,0.35204
AST-001,2003-10-24 00:46:24,0.657,57.94,5.822,0.08447,2.84349,0.31015
AST-001,2003-10-24 00:56:24,0.612,58.46,5.957,0.08089,3.25481,0.31211
AST-001,2003-10-24 01:06:24,0.544,57.13,6.075,0.07853,2.9989,0.42759
AST-001,2003-10-24 01:16:24,0.631,56.34,5.912,0.07767,2.60929,0.29664
AST-001,2003-10-24 01:26:24,0.546,57.8,6.063,0.07789,2.80612,0.30508
AST-001,2003-10-24 01:36:24,0.603,57.88,6.061,0.07658,3.0378,0.27076
AST-001,2003-10-24 01:46:24,0.532,57.39,6.023,0.08266,2.96776,0.31558
AST-001,2003-10-24 01:56:24,0.522,57.07,6.157,0.08398,2.9893,0.39647
AST-001,2003-10-24 02:06:24,0.521,56.25,6.031,0.07944,3.19076,0.30563
AST-001,2003-10-24 02:16:24,0.588,56.94,6.036,0.08312,3.18264,0.37361
AST-001,2003-10-24 02:26:24,0.554,57.84,5.728,0.07995,2.99087,0.38467
AST-001,2003-10-24 02:36:24,0.606,55.94,6.073,0.07967,3.09489,0.35041
AST-001,2003-10-24 02:46:24,0.522,56.04,5.772,0.07544,2.83138,0.40212
AST-001,2003-10-24 02:56:24,0.607,57.28,6.124,0.08162,3.07736,0.35509
AST-001,2003-10-24 03:06:24,0.553,57.07,5.962,0.08047,3.09629,0.43748
AST-001,2003-10-24 03:16:24,0.642,55.35,5.975,0.08477,2.73792,0.4313
AST-001,2003-10-24 03:26:24,0.631,55.45,5.871,0.08455,3.01521,0.38057
AST-001,2003-10-24 03:36:24,0.571,56.96,5.784,0.07565,3.08655,0.41386
AST-001,2003-10-24 03:46:24,0.586,55.09,6.152,0.07746,2.94319,0.42083
AST-001,2003-10-24 03:56:24,0.591,57.3,6.036,0.08123,2.79979,0.42219
AST-001,2003-10-24 04:06:24,0.601,55.27,6.028,0.07491,3.04657,0.36609
AST-001,2003-10-24 04:16:24,0.566,55.77,6.033,0.08177,3.02417,0.32048
AST-001,2003-10-24 04:26:24,0.631,54.7,5.959,0.07608,3.0814,0.40547
AST-001,2003-10-24 04:36:24,0.553,57.55,5.884,0.0802,2.59704,0.29019
AST-001,2003-10-24 04:46:24,0.485,57.08,6.048,0.08468,3.16399,0.42248
AST-001,2003-10-24 04:56:24,0.589,59.0,5.804,0.07768,2.97959,0.34289
AST-001,2003-10-24 05:06:24,0.572,56.83,6.111,0.07479,3.05398,0.3583
AST-001,2003-10-24 05:16:24,0.617,55.85,6.03,0.08139,3.02088,0.32443
AST-001,2003-10-24 05:26:24,0.605,54.56,5.724,0.08052,2.88229,0.37333
AST-001,2003-10-24 05:36:24,0.582,55.52,5.894,0.08236,3.01605,0.40186
AST-001,2003-10-24 05:46:24,0.581,55.46,5.907,0.07607,3.11664,0.34048
AST-001,2003-10-24 05:56:24,0.582,55.98,5.81,0.07791,3.05576,0.41111
AST-001,2003-10-24 06:06:24,0.544,53.75,5.966,0.07536,3.00278,0.40064
AST-001,2003-10-24 06:16:24,0.518,56.01,5.826,0.08667,3.05262,0.33895
AST-001,2003-10-24 06:26:24,0.537,55.84,6.285,0.07528,2.95832,0.31288
AST-001,2003-10-24 06:36:24,0.572,58.44,6.058,0.08418,2.77838,0.3373
AST-001,2003-10-24 06:46:24,0.468,55.85,6.252,0.07483,3.03462,0.35093
AST-001,2003-10-24 06:56:24,0.556,58.23,6.013,0.07754,3.13109,0.32864
AST-001,2003-10-24 07:06:24,0.53,54.59,5.783,0.0755,2.88449,0.37688
AST-001,2003-10-24 07:16:24,0.573,56.09,6.153,0.08411,2.86051,0.41504
AST-001,2003-10-24 07:26:24,0.538,56.78,5.822,0.07874,3.05343,0.34873
AST-001,2003-10-24 07:36:24,0.581,55.79,5.991,0.0785,3.0926,0.28079
AST-001,2003-10-24 07:46:24,0.567,58.76,6.023,0.07977,2.97691,0.33401
AST-001,2003-10-24 07:56:24,0.641,56.13,5.751,0.07193,2.93978,0.3342
AST-001,2003-10-24 08:06:24,0.563,55.28,5.887,0.07614,3.03077,0.35783
AST-001,2003-10-24 08:16:24,0.568,55.9,5.752,0.07963,3.04397,0.38304
AST-001,2003-10-24 08:26:24,0.582,57.65,5.78,0.07166,2.91473,0.33669
AST-001,2003-10-24 08:36:24,0.494,54.84,6.048,0.08544,2.85169,0.40079
AST-001,2003-10-24 08:46:24,0.53,55.71,6.102,0.07914,3.26879,0.39088
AST-001,2003-10-24 08:56:24,0.651,55.77,6.009,0.08679,2.91426,0.40016
AST-001,2003-10-24 09:06:24,0.608,56.98,5.955,0.08108,3.1853,0.40212
AST-001,2003-10-24 09:16:24,0.588,57.05,6.138,0.08176,2.98626,0.36705
AST-001,2003-10-24 09:26:24,0.636,54.61,6.005,0.08607,2.96709,0.38976
AST-001,2003-10-24 09:36:24,0.577,56.36,5.759,0.07951,3.33632,0.42317
AST-001,2003-10-24 09:46:24,0.574,56.79,5.792,0.07407,2.94602,0.32548
AST-001,2003-10-24 09:56:24,0.573,56.28,6.341,0.07848,2.96545,0.40508
AST-001,2003-10-24 10:06:24,0.503,57.34,5.938,0.07912,2.70629,0.33194
AST-001,2003-10-24 10:16:24,0.634,59.51,5.82,0.07358,2.99559,0.32209
AST-001,2003-10-24 10:26:24,0.581,59.52,5.917,0.07648,2.90054,0.2842
AST-001,2003-10-24 10:36:24,0.586,59.06,5.698,0.0795,2.82518,0.28966
AST-001,2003-10-24 10:46:24,0.576,57.95,6.317,0.08387,3.10427,0.39171
AST-001,2003-10-24 10:56:24,0.562,59.17,6.194,0.08016,2.98638,0.42944
AST-001,2003-10-24 11:06:24,0.485,57.34,5.986,0.08117,3.10665,0.39895
AST-001,2003-10-24 11:16:24,0.602,56.85,6.019,0.09475,3.13205,0.49001
AST-001,2003-10-24 11:26:24,0.701,58.1,5.951,0.08001,3.00537,0.39964
AST-001,2003-10-24 11:36:24,0.644,58.21,6.199,0.08326,3.03667,0.43245
AST-001,2003-10-24 11:46:24,0.584,56.99,5.924,0.08604,2.92539,0.34909
AST-001,2003-10-24 11:56:24,0.555,57.68,6.071,0.08106,3.35236,0.33766
AST-001,2003-10-24 12:06:24,0.601,55.25,6.027,0.08817,3.152,0.31747
AST-001,2003-10-24 12:16:24,0.619,57.37,5.996,0.06135,3.15127,0.25468
AST-001,2003-10-24 12:26:24,0.596,58.67,5.985,0.08082,2.74732,0.40619
AST-001,2003-10-24 12:36:24,0.643,55.68,5.883,0.08035,3.09569,0.33269
AST-001,2003-10-24 12:46:24,0.558,56.75,6.067,0.0812,2.99563,0.33523
AST-001,2003-10-24 12:56:24,0.656,57.36,6.114,0.08327,3.02699,0.40866
AST-001,2003-10-24 13:06:24,0.614,57.23,6.047,0.07022,2.8285,0.33946
AST-001,2003-10-24 13:16:24,0.581,57.82,6.085,0.08298,3.22881,0.34302
AST-001,2003-10-24 13:26:24,0.595,58.15,6.122,0.08222,3.15313,0.44746
AST-001,2003-10-24 13:36:24,0.626,59.36,5.976,0.07348,2.82027,0.27115
AST-001,2003-10-24 13:46:24,0.647,59.07,6.07,0.08663,2.96696,0.35819
AST-001,2003-10-24 13:56:24,0.615,57.75,5.978,0.08628,2.80599,0.32257
AST-001,2003-10-24 14:06:24,0.64,58.81,6.256,0.07054,2.8595,0.31076
AST-001,2003-10-24 14:16:24,0.728,58.22,6.046,0.07627,3.26433,0.29202
AST-001,2003-10-24 14:26:24,0.535,58.85,6.049,0.07662,3.10473,0.33553
AST-001,2003-10-24 14:36:24,0.518,58.21,5.952,0.08657,2.831,0.42654
AST-001,2003-10-24 14:46:24,0.62,59.64,5.884,0.08666,2.91717,0.43465
AST-001,2003-10-24 14:56:24,0.57,56.76,5.897,0.08008,3.11505,0.32991
AST-001,2003-10-24 15:06:24,0.622,58.04,5.696,0.08412,3.07154,0.4581
AST-001,2003-10-24 15:16:24,0.54,59.93,6.034,0.0817,2.72368,0.31638
AST-001,2003-10-24 15:26:24,0.625,59.81,5.769,0.09002,3.04514,0.38072
